|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
|0+  |     0|0011000000111001|  0  |      0|   0   |    0|    0|      0 |
|1   |     0|0011000000111001|  0  |      0|   0   |12345|    1|      0 |
|1+  |     0|1110110000010000|  0  |      0|   0   |12345|    1|      0 |
|2   |     0|1110110000010000|  0  |      0|   0   |    0|    2|      0 |
|2+  |     0|0101101110100000|  0  |      0|   0   |    0|    2|      0 |
|3   |     0|0101101110100000|  0  |      0|   0   |23456|    3|      0 |
|3+  |     0|1110000111010000|  0  |      0|   0   |23456|    3|      0 |
|4   |     0|1110000111010000|  0  |      0|   0   |    0|    4|      0 |
|4+  |     0|0000001111101000|  0  |      0|   0   |    0|    4|      0 |
|5   |     0|0000001111101000|  0  |      0|   0   | 1000|    5|      0 |
|5+  |     0|1110001100001000|  0  |      0|   0   | 1000|    5|      0 |
|6   |     0|1110001100001000|  0  |      0|   0   |    0|    6|      0 |
|6+  |     0|0000001111101001|  0  |      0|   0   |    0|    6|      0 |
|7   |     0|0000001111101001|  0  |      0|   0   | 1001|    7|      0 |
|7+  |     0|1110001110011000|  0  |      0|   0   | 1001|    7|      0 |
|8   |     0|1110001110011000|  0  |      0|   0   |    0|    8|      0 |
|8+  |     0|0000001111101000|  0  |      0|   0   |    0|    8|      0 |
|9   |     0|0000001111101000|  0  |      0|   0   | 1000|    9|      0 |
|9+  | 11111|1111010011010000|  0  |      0|   0   | 1000|    9|      0 |
|10  | 11111|1111010011010000|  0  |      0|   0   |    0|   10|      0 |
|10+ | 11111|0000000000001110|  0  |      0|   0   |    0|   10|      0 |
|11  | 11111|0000000000001110|  0  |      0|   0   |   14|   11|      0 |
|11+ | 11111|1110001100000100|  0  |      0|   0   |   14|   11|      0 |
|12  | 11111|1110001100000100|  0  |      0|   0   |    0|   12|      0 |
|12+ | 11111|0000001111100111|  0  |      0|   0   |    0|   12|      0 |
|13  | 11111|0000001111100111|  0  |      0|   0   |  999|   13|      0 |
|13+ | 11111|1110110111100000|  0  |      0|   0   |  999|   13|      0 |
|14  | 11111|1110110111100000|  0  |      0|   0   |    0|   14|      0 |
|14+ | 11111|1110001100001000|  0  |      0|   0   |    0|   14|      0 |
|15  | 11111|1110001100001000|  0  |      0|   0   |    0|   15|      0 |
|15+ | 11111|0000000000010101|  0  |      0|   0   |    0|   15|      0 |
|16  | 11111|0000000000010101|  0  |      0|   0   |   21|   16|      0 |
|16+ | 11111|1110011111000010|  0  |      0|   0   |   21|   16|      0 |
|17  | 11111|1110011111000010|  0  |      0|   0   |    0|   17|      0 |
|17+ | 11111|0000000000000010|  0  |      0|   0   |    0|   17|      0 |
|18  | 11111|0000000000000010|  0  |      0|   0   |    2|   18|      0 |
|18+ | 11111|1110000010010000|  0  |      0|   0   |    2|   18|      0 |
|19  | 11111|1110000010010000|  0  |      0|   0   |    0|   19|      0 |
|19+ | 11111|0000001111101000|  0  |      0|   0   |    0|   19|      0 |
|20  | 11111|0000001111101000|  0  |      0|   0   | 1000|   20|      0 |
|20+ | 11111|1110111010010000|  0  |      0|   0   | 1000|   20|      0 |
|21  | 11111|1110111010010000|  0  |      0|   0   |    0|   21|      0 |
|21+ | 11111|1110001100000001|  0  |      0|   0   |    0|   21|      0 |
